file,filled_ratio,n_tumor,n_lymph,immune subtype
TCGA-EE-A2A2-06A-01-TSA_patch=2,0.97971111,8750,1039,D
TCGA-EE-A2A5-06A-01-TSA_patch=1,0.83297778,6394,1909,D
TCGA-EE-A2A5-06A-01-TSA_patch=2,0.83864236,8118,277,D
TCGA-EE-A2GC-06A-01-TSA_patch=1,0.94021528,6365,2905,IE
TCGA-EE-A2GC-06A-01-TSA_patch=2,0.95601528,8232,1265,IE
TCGA-EE-A2GC-06A-01-TSA_patch=3,0.99182222,4557,5281,IE
TCGA-EE-A2GJ-06A-01-TS1_patch=1,0.93817292,4955,4370,IE
TCGA-EE-A2GJ-06A-01-TS1_patch=2,0.99023125,8353,1485,IE
TCGA-EE-A2GK-06A-01-TSA_patch=1,0.87476667,180,8547,IE
TCGA-EE-A2GK-06A-01-TSA_patch=2,0.84846042,2763,5660,IE
TCGA-EE-A2GL-06A-01-TSA_patch=1,0.92916806,4154,5112,IE
TCGA-EE-A2GS-06A-01-TSA_patch=1,0.80746319,4681,3433,D
TCGA-EE-A2GS-06A-01-TSA_patch=2,0.85923958,5315,3181,D
TCGA-EE-A2M5-06A-01-TSA_patch=1,0.82732431,160,8102,D
TCGA-EE-A2M6-06A-01-TSA_patch=1,0.92737431,646,8642,D
TCGA-EE-A2M6-06A-01-TSA_patch=2,0.82670347,1155,7103,D
TCGA-EE-A2M6-06A-01-TSA_patch=3,0.86154583,753,7833,D
TCGA-EE-A2MD-06A-01-TSA_patch=1,0.86520903,5110,3500,D
TCGA-EE-A2MD-06A-01-TSA_patch=2,0.93603681,8222,1122,D
TCGA-EE-A2MF-06A-01-TS1_patch=1,0.82832222,4255,3957,IE
TCGA-EE-A2MF-06A-01-TS1_patch=2,0.90742708,2675,6366,IE
TCGA-EE-A2MH-06A-01-TSA_patch=1,0.95598333,6045,3518,IE
TCGA-EE-A2MH-06A-01-TSA_patch=2,0.8744875,776,7947,IE
TCGA-EE-A2ML-06A-01-TSA_patch=1,0.85355764,1362,7174,IE
TCGA-EE-A2ML-06A-01-TSA_patch=2,0.98903194,1229,8663,IE
TCGA-EE-A2MM-06A-01-TSA_patch=1,0.93999167,8152,1196,D
TCGA-EE-A2MM-06A-01-TSA_patch=2,0.94406944,6087,3276,D
TCGA-EE-A2MN-06A-01-TSA_patch=1,0.90472986,6197,2815,IE
TCGA-EE-A2MN-06A-01-TSA_patch=2,0.9539875,7319,2210,IE
TCGA-EE-A2MQ-06A-01-TSA_patch=1,0.80461458,7203,755,D
TCGA-EE-A2MQ-06A-01-TSA_patch=2,0.87562292,8591,144,D
