sample,neighbor_cell_type,mean (training),mean (reconstruction)
80,lymphocyte,0.725,2.3940149625935163
81,tumor,7.784521515735388,7.706030150753769
81,lymphocyte,0.1233140655105973,0.15797738693467336
82,tumor,7.633918320485485,7.576792963464141
82,lymphocyte,0.12547154338199115,0.18589309878213803
83,tumor,6.69054441260745,5.826546003016591
83,lymphocyte,0.9297994269340975,1.4019607843137254
84,tumor,7.558859223300971,7.503663003663004
84,lymphocyte,0.21298543689320387,0.2541208791208791
85,tumor,7.2772277227722775,6.671532846715328
85,lymphocyte,0.45544554455445546,0.6871741397288843
86,tumor,7.654609736197988,7.584339858392337
86,lymphocyte,0.14713081316290455,0.18908788004997917
87,tumor,7.557069219440353,7.509589532174225
87,lymphocyte,0.24650220913107512,0.28195017028141245
88,tumor,7.030927835051546,5.325670498084291
88,lymphocyte,0.5657216494845361,1.3588761174968071
89,tumor,7.781125873168059,7.736082474226804
89,lymphocyte,0.03410491713463909,0.11207658321060383
90,tumor,7.716650115855677,7.627124405166553
90,lymphocyte,0.1046011254551473,0.174881033310673
91,tumor,7.191762013729977,6.676345004269855
91,lymphocyte,0.5844393592677346,0.8151152860802733
92,tumor,7.612835191322688,7.586010709504685
92,lymphocyte,0.13061163000903886,0.21285140562248997
93,tumor,7.166666666666667,6.700642791551882
93,lymphocyte,0.7119791666666667,0.891643709825528
94,tumor,7.816879795396419,7.8120640131308985
94,lymphocyte,0.018005115089514065,0.02728764874846122
95,tumor,6.890464933018125,6.217391304347826
95,lymphocyte,0.7565011820330969,1.078710644677661
96,tumor,7.8158103663377565,7.750987224157956
96,lymphocyte,0.039355789951230576,0.08281068524970964
97,tumor,7.05,3.6
97,lymphocyte,0.65,2.2032786885245903
98,tumor,7.601041892771869,7.5075836276750465
98,lymphocyte,0.2730627306273063,0.3104093081238313
99,tumor,7.456913470115968,7.392312789927104
99,lymphocyte,0.3816235504014273,0.3873426110006627
100,tumor,7.832967032967033,7.832190911398833
100,lymphocyte,0.018315018315018316,0.043665905052043666
101,tumor,7.8517241379310345,7.83104540654699
101,lymphocyte,0.009655172413793104,0.043059955414760064
102,tumor,7.429418472063854,7.295085425015819
102,lymphocyte,0.4348916761687571,0.4906137945581101
103,tumor,5.55,2.0775862068965516
103,lymphocyte,1.2,2.6077586206896552
104,tumor,7.41752690533714,7.231585390736584
104,lymphocyte,0.4140127388535032,0.47704550091818
105,tumor,7.829677152317881,7.826576341844711
105,lymphocyte,0.013658940397350994,0.023762376237623763
106,tumor,7.657901726427623,7.623817966903073
106,lymphocyte,0.07941567065073041,0.16090425531914893
107,tumor,7.813020950664564,7.796298399000795
107,lymphocyte,0.02849740932642487,0.043942318610196436
108,tumor,7.722402597402597,7.667376188448985
108,lymphocyte,0.12378246753246754,0.20916702142755783
109,tumor,7.179985601151908,7.051051051051051
109,lymphocyte,0.5428365730741541,0.5849182515849183
110,tumor,7.541648172806628,7.497031662269129
110,lymphocyte,0.15949104897174138,0.24604221635883905
111,tumor,7.428832116788321,7.442293555501102
111,lymphocyte,0.2527372262773723,0.3048272482234746
112,tumor,7.500640204865557,7.35251798561151
112,lymphocyte,0.3480153649167734,0.39518729843711237
113,tumor,7.147916666666666,5.828364950316169
113,lymphocyte,0.42291666666666666,1.044263775971093
114,tumor,7.54000409249028,7.482418524871355
114,lymphocyte,0.2361366891753632,0.3218267581475129
115,tumor,7.775996387038501,7.753275882422383
115,lymphocyte,0.04550073388280456,0.10293944044386731
116,tumor,7.723253150057274,7.723541158198358
116,lymphocyte,0.10824742268041238,0.10350565786554249
117,tumor,7.810355987055016,7.809648263094849
117,lymphocyte,0.025674217907227615,0.03506479364042252
118,tumor,7.192473362049422,7.051493063719727
118,lymphocyte,0.5300385400136024,0.6061603573947801
119,tumor,7.144658261446582,6.883401062832135
119,lymphocyte,0.6204379562043796,0.7383557361675523
120,tumor,7.777777777777778,7.767879374740628
120,lymphocyte,0.08669410150891632,0.1011204869276525
121,tumor,7.015923566878981,6.142857142857143
121,lymphocyte,0.9140127388535032,1.1599241466498105
122,tumor,7.386438446346281,7.145111492281304
122,lymphocyte,0.413100724160632,0.5934819897084048
123,tumor,7.702378092721595,7.684804804804805
123,lymphocyte,0.13175594523180398,0.16504504504504505
124,tumor,7.409573649376635,7.406864183044881
124,lymphocyte,0.4148068339233492,0.3813435024933998
125,tumor,7.814994487320838,7.788208616780046
125,lymphocyte,0.03836824696802646,0.07131519274376417
126,tumor,7.551327297836428,7.534232715008431
126,lymphocyte,0.17201166180758018,0.2629005059021922
127,tumor,6.716049382716049,4.747634069400631
127,lymphocyte,1.217283950617284,1.832807570977918
128,tumor,7.68595041322314,7.688634192932187
128,lymphocyte,0.09723657024793389,0.1431300313821804
129,tumor,7.39185520361991,7.25948406676783
129,lymphocyte,0.448868778280543,0.5133318881422068
130,tumor,7.5969460227272725,7.494868035190616
130,lymphocyte,0.23508522727272727,0.31433284457478006
131,tumor,7.753570428451414,7.7115165336374005
131,lymphocyte,0.09353122374684962,0.12528506271379702
132,tumor,6.030769230769231,1.7102473498233215
132,lymphocyte,0.7846153846153846,2.7703180212014136
133,tumor,7.127008812856403,6.863521055301877
133,lymphocyte,0.5997926386728875,0.7519025875190258
134,tumor,7.479193260148072,7.361242759347025
134,lymphocyte,0.27648710748021443,0.3949447077409163
135,tumor,6.7657657657657655,4.27431421446384
135,lymphocyte,0.9369369369369369,2.0099750623441395
136,tumor,7.56152125279642,7.501776549545993
136,lymphocyte,0.24303437055114907,0.29668377418081326
137,tumor,7.330653266331658,7.167890870933893
137,lymphocyte,0.37613065326633166,0.5186253934942288
138,tumor,6.924137931034482,6.311565696302124
138,lymphocyte,0.7258620689655172,1.014948859166011
139,tumor,7.802750826314106,7.8164798084249485
139,lymphocyte,0.023136794967480542,0.04441058016762817
140,tumor,7.327129563350036,6.95356738391846
140,lymphocyte,0.45526127415891193,0.6964892412231031
141,tumor,7.807621476129763,7.7881498043599775
141,lymphocyte,0.1048307125655192,0.09474566797093348
142,tumor,6.86687306501548,6.051282051282051
142,lymphocyte,0.9806501547987616,1.2642998027613412
143,tumor,7.345844504021447,7.219512195121951
143,lymphocyte,0.49865951742627346,0.5812382739212008
144,tumor,6.995670995670996,5.944121071012805
144,lymphocyte,0.862914862914863,1.209545983701979
145,tumor,7.786548223350254,7.772739187418087
145,lymphocyte,0.05710659898477157,0.09239842726081259
146,tumor,7.65825562260011,7.574434087882823
146,lymphocyte,0.1847229840921558,0.2288948069241012
147,tumor,7.726814031715521,7.719681177191907
147,lymphocyte,0.08649687650168188,0.11122011036174126
148,tumor,7.753618072714437,7.706241201313937
148,lymphocyte,0.0984821743734557,0.1288127639605819
149,tumor,7.820371052954909,7.8100999473961075
149,lymphocyte,0.007617643445140681,0.06391372961599158
150,tumor,7.814137064944385,7.801110425663171
150,lymphocyte,0.027508671211577563,0.05107958050586058
151,tumor,7.404713804713805,7.374143153196238
151,lymphocyte,0.42272727272727273,0.39741750358680056
152,tumor,7.074626865671642,4.70990990990991
152,lymphocyte,0.43283582089552236,1.4342342342342342
153,tumor,7.783718754177249,7.670453061757409
153,lymphocyte,0.1374147841197701,0.16712364538451496
154,tumor,6.940672782874618,6.658064516129032
154,lymphocyte,0.6889908256880733,0.9702508960573477
155,tumor,7.188536953242836,6.257091128545564
155,lymphocyte,0.6546003016591252,1.0150875075437538
