sample,area (training),area (reconstruction),perimeter (training),perimeter (reconstruction),complexity (training),complexity (reconstruction)
340,490.5,390.0,85.8406195640564,77.25483357906342,1.1954648504552443,1.2178024728196946
341,541.0,342.5,90.56854140758514,71.84062027931213,1.206556373150085,1.1991394944400606
342,228.5,119.0,61.35533845424652,43.455843806266785,1.3110179678967488,1.2628144685946114
343,334.0,182.5,72.76955163478851,50.041630148887634,1.2616621293544288,1.0919183505588914
344,563.5,411.0,90.18376553058624,77.25483334064484,1.1485580375612234,1.155578981674472
345,721.0,533.5,109.59797894954681,92.52691197395325,1.3257448917833559,1.2770027968416557
346,490.0,348.0,86.76955199241638,72.28427076339722,1.2227249274607357,1.1948090406189738
347,621.0,441.0,95.2548336982727,79.59797978401184,1.1627131441885799,1.1432879792685786
348,140.5,35.0,48.870057106018066,23.656854152679443,1.3526938165044107,1.2724363770478395
349,692.0,502.0,102.42640602588654,84.28427076339722,1.2064460619059414,1.1261065538555197
350,566.0,419.5,92.42640602588654,79.01219296455383,1.2010631338726727,1.1842582045881023
351,455.5,257.0,85.01219308376312,63.112698435783386,1.2625953762070568,1.2333618505905568
352,584.5,417.0,93.84061920642853,77.25483357906342,1.1989121186647018,1.1389519529968366
353,821.0,611.0,112.56854128837585,94.08326017856598,1.2282338308730623,1.1528522250667175
354,413.0,226.0,80.42640602588654,58.14213514328003,1.2463425108467039,1.1903197767854925
355,524.5,406.0,89.8406195640564,77.25483357906342,1.2245883400949364,1.169810257142071
356,649.0,447.5,98.91168713569641,80.18376564979553,1.1996116052373897,1.1433257701303186
357,520.5,381.0,86.18376576900482,71.59797954559326,1.1355867986502153,1.0706972671326223
358,728.0,551.0,104.0832599401474,89.94112515449524,1.184187653732232,1.1683021330592664
359,242.5,144.0,60.870057344436646,47.112698435783386,1.2158662817422778,1.2266018157692138
360,777.0,520.0,107.74011433124542,87.59797978401184,1.1888415665718393,1.174288947266188
361,443.5,276.5,83.35533845424652,64.87005722522736,1.2467039925460577,1.2111099229189555
362,254.5,118.5,63.012192249298096,44.041630029678345,1.2415137334772264,1.3025624500053148
363,546.5,388.0,88.66904747486115,74.08326077461243,1.144838051610051,1.1256375947669215
364,654.0,440.0,99.25483334064484,78.42640674114227,1.198714383765044,1.1124028537395176
365,722.0,552.5,103.25483286380768,89.35533845424652,1.1750969918264071,1.1500027050830377
366,178.0,67.0,54.28427028656006,37.79898941516876,1.317401465170929,1.6969760416296649
367,490.5,318.0,85.84061920642853,69.4558435678482,1.1954648404941899,1.20720380798804
368,592.0,450.0,96.91168749332428,80.56854283809662,1.262469052917031,1.1479121174125964
369,331.5,168.5,69.84062016010284,48.38477611541748,1.1709080112891563,1.1056246237046687
370,693.5,515.0,100.66904652118683,86.62741672992706,1.1628818201676294,1.1595610915036816
371,531.0,386.0,89.25483310222626,76.42640626430511,1.193875663334945,1.2041752827148164
372,256.5,120.0,63.35533821582794,43.31370806694031,1.2452862532034321,1.244112403972074
373,218.5,109.0,60.52691149711609,40.97056233882904,1.3342454245984423,1.225483555117719
374,607.0,445.5,94.91168713569641,81.3553386926651,1.1809753469439548,1.182264209587534
375,186.5,63.5,56.183765292167664,32.72792172431946,1.3468926473598515,1.3423113618948534
376,229.5,113.5,62.52691113948822,44.72792184352875,1.3556307011404134,1.402657748600459
