sample,neighbor_cell_type,mean (training),mean (reconstruction)
139,tumor,7.045553145336226,7.1254752851711025
139,lymphocyte,0.08676789587852494,0.07984790874524715
140,tumor,7.471747700394218,7.413533834586466
140,lymphocyte,0.11826544021024968,0.17481203007518797
141,tumor,7.134948096885813,6.929411764705883
141,lymphocyte,0.17301038062283736,0.12352941176470589
142,tumor,7.486818980667838,7.109826589595376
142,lymphocyte,0.05799648506151142,0.3959537572254335
143,tumor,7.501187648456057,7.45945945945946
143,lymphocyte,0.12589073634204276,0.10641891891891891
144,tumor,7.573187414500684,7.420560747663552
144,lymphocyte,0.024623803009575923,0.11775700934579439
145,tumor,7.587786259541985,7.420289855072464
145,lymphocyte,0.007633587786259542,0.14855072463768115
146,tumor,7.554301833568406,7.416666666666667
146,lymphocyte,0.023977433004231313,0.07936507936507936
147,tumor,7.560407569141193,7.421157684630739
147,lymphocyte,0.0,0.10179640718562874
148,tumor,7.589307411907655,7.47945205479452
148,lymphocyte,0.019441069258809233,0.10616438356164383
149,tumor,7.480153649167733,7.302681992337165
149,lymphocyte,0.09603072983354674,0.2222222222222222
150,tumor,7.5476190476190474,7.406060606060606
150,lymphocyte,0.011904761904761904,0.08080808080808081
151,tumor,7.364055299539171,7.333333333333333
151,lymphocyte,0.19508448540706605,0.20430107526881722
152,tumor,7.5012722646310435,7.443609022556391
152,lymphocyte,0.07506361323155217,0.08082706766917293
153,tumor,6.5,6.576576576576577
153,lymphocyte,0.6481481481481481,0.27927927927927926
154,tumor,6.996655518394649,6.769230769230769
154,lymphocyte,0.3177257525083612,0.3333333333333333
155,tumor,7.526490066225166,7.285359801488834
155,lymphocyte,0.014900662251655629,0.1513647642679901
156,tumor,7.434262948207171,7.397637795275591
156,lymphocyte,0.08764940239043825,0.09055118110236221
157,tumor,7.464788732394366,7.477954144620811
157,lymphocyte,0.14596670934699105,0.07583774250440917
158,tumor,7.500831946755408,7.245283018867925
158,lymphocyte,0.036605657237936774,0.2722371967654987
159,tumor,7.573875802997859,7.48936170212766
159,lymphocyte,0.061027837259100645,0.05015197568389058
160,tumor,7.6,7.48489666136725
160,lymphocyte,0.0058823529411764705,0.08108108108108109
161,tumor,7.627807486631016,7.501519756838905
161,lymphocyte,0.0,0.04711246200607903
162,tumor,7.5675675675675675,7.42578125
162,lymphocyte,0.012802275960170697,0.046875
163,tumor,7.546875,7.2727272727272725
163,lymphocyte,0.0,0.21507760532150777
164,tumor,7.137254901960785,6.37037037037037
164,lymphocyte,0.13725490196078433,0.6851851851851852
165,tumor,7.574931880108992,7.430232558139535
165,lymphocyte,0.01907356948228883,0.0872093023255814
166,tumor,7.306451612903226,7.185483870967742
166,lymphocyte,0.0967741935483871,0.21370967741935484
167,tumor,7.548946716232962,7.410071942446043
167,lymphocyte,0.08798017348203221,0.22122302158273383
168,tumor,7.493282149712092,7.089171974522293
168,lymphocyte,0.030710172744721688,0.40445859872611467
169,tumor,7.469061876247505,7.0344827586206895
